title,text,subject,date,label
"Trump, China's Xi to meet April 6-7 in Florida: source","Trump, China's Xi to meet April 6-7 in Florida: source - AP - Business - The Guardian

Reuters - The United States and China's presidents will meet next month in Florida at the G20 leaders' summit, the White House said on Sunday.

Donald Trump and China's Xi Jinping are going to meet on April 6-7 in Florida, a source familiar with the arrangements told AFP on Sunday.

The two parties are also discussing a further round of talks on trade at the meeting in Buenos Aires, Argentina, on the sidelines of the G20 for the first time, the source said.

""Both sides decided that the most efficient place in the short-term to hold meaningful talks would be at the",fake,fake,1
U.S. nuclear arsenal to cost $1.2 trillion over next 30 years: CBO,"U.S. nuclear arsenal to cost $1.2 trillion over next 30 years: CBO

By Nick Miroff, CNN

Updated 0946 GMT (1746 HKT) July 10, 2014

The U.S. nuclear arsenal: Costing $1.2 trillion over 30 years.

The U.S. nuclear arsenal: Costing $1.2 trillion over 30 years.

The U.S. nuclear arsenal: Costing $1.2 trillion over 30 years.

The U.S. nuclear arsenal: Costing $1.2 trillion over 30 years.

The U.S. nuclear arsenal: Costing $1.2 trillion over 30 years.
",fake,fake,1
Austria's Freedom Party criticizes ECJ ruling on migrant quotas,"Austria's Freedom Party criticizes ECJ ruling on migrant quotas Published duration 2 June 2015 Related Topics Europe migrant crisis

image copyright AFP image caption The ECJ ruled that it was illegal to force EU states to sign up to the quota system

Austria's Freedom Party (FPÖ) has criticized the European Court of Justice for ruling that it was illegal for the EU to place quotas on the number of migrants allowed to move between countries.

The FPÖ also accused the ECJ of ""totally ignoring the will of the people"" and being ""out of touch with the reality of our country and continent"".

The quotas apply to those entering the EU through the external borders of the Schengen zone.
",fake,fake,1
Top U.S. Senate Democrat holds out hope for Obamacare subsidies,"Top U.S. Senate Democrat holds out hope for Obamacare subsidies

Washington: Sen. Chris Murphy of Connecticut, who in April called on fellow Democrats to oppose any Republican health insurance bill that did not guarantee universal access to health insurance, is holding out hope that Obamacare’s insurance-market subsidies will somehow be extended to cover the next three years.

“The most likely path moving forward is to continue with Obamacare and let the states do what they do in terms of expanding access to affordable coverage,” Murphy told the Washington Post in an interview. “So that is what I am going to fight for” he said, adding: “I will keep pushing, but I do not know what will happen.",fake,fake,1
Iran's Larijani says Tehran has a plan if U.S. withdraws from nuclear pact: Ifax,"Iran's Larijani says Tehran has a plan if U.S. withdraws from nuclear pact: Ifax U.K. (AP) The leader of Iran's most powerful political institution struck a defiant tone Wednesday when he said his country has a plan in case U.S. President Donald Trump withdraws from the landmark nuclear accord he has long criticized.

Iran has no plans to enrich uranium above low levels or close the internationally-strict-in-scope Fordow enrichment facility, said parliament speaker Ali Larijani, a senior advocate of the accord who also serves as head of the Guardian Council, or supervisory body.

Larijani's comments came as U.S. national security adviser John Bolton declared Iran",fake,fake,1
FACTBOX: About 6.1 million without power in U.S. Southeast after Irma: utilities,"FACTBOX: About 6.1 million without power in U.S. Southeast after Irma: utilities

The damage Hurricane Irma caused to Florida Power & Light Co.'s infrastructure was more widespread than company officials have previously stated, according to interviews with multiple employees and industry sources.

The utility told utility trade publication Modern Energy on July 5 that only 1.2 million Florida customers were without power because of damage caused by the storm. The actual number, according to interviews with more than 20 FPL employees and industry sources, is more than twice the amount the company disclosed.

The utility declined to provide an updated tally of the number of customers without electricity.

While 1.2 million customers is a big number, as the",fake,fake,1
White House continues to cooperate with special counsel -official,"White House continues to cooperate with special counsel -official

Special counsel Robert Mueller's team has ""obtained emails sent by a key White House aide to a Russian entrepreneur,"" a person familiar with the emails said.

The FBI and the Treasury Department’s financial crimes division are helping to review the emails.

The news comes about two weeks after Trump said White House lawyer Don McGahn had failed to cooperate with the Russia investigation.

""I cannot imagine that there really even is anything for Don McGahn to be conflicted out of,"" Trump said in July. ""There's not a single thing. There isn't anything on there.""

The White House has insisted that the President was making a ""very general statement""",fake,fake,1
China's probes of rights lawyers 'alarming': Human Rights Watch,"China's probes of rights lawyers 'alarming': Human Rights Watch

Updated

China's ongoing crackdown on civil society, including the harassment and detention of human rights lawyers, have raised concerns about its commitment to international human rights standards, Human Rights Watch said in a report released on Tuesday.

Key findings of the report include:

In 2009 there were almost 10,000 lawyers behind bars in violation of their rights to freedom of expression and association

Some lawyers are held incommunicado in secret detention facilities

The most commonly stated goal of the detentions appears to be preventing the lawyers from doing their jobs

Citizens are not allowed to contact lawyers in detention

The report says that the Chinese government appears",fake,fake,1
Syrian opposition: Russia conference aims to rehabilitate Assad,"Syrian opposition: Russia conference aims to rehabilitate Assad

This handout picture released on April 11, 2012 by the Syrian opposition's Syrian National Council (SNC) shows the face of a man who said, as a former Syrian general, he took part in the bloodiest battles of the country's civil war. -- PHOTO: AFP

BEIRUT: The Syrian opposition has refused to attend a Moscow conference on the situation inside the country, arguing that it wants to be present only at future talks on a political settlement.

An al-Qaida-led insurgency battling to topple President Bashar al-Assad has seized the upper hand in Syria, but Russia, which has provided diplomatic support to Damascus, is keen to try to bring together",fake,fake,1
U.N. medics see evidence of rape in Myanmar army 'cleansing' campaign,"U.N. medics see evidence of rape in Myanmar army 'cleansing' campaign

Yangon, Myanmar  Medics and aid workers are seeing evidence of rape in the brutal military campaign to oust Rohingya militants from Buddhist communities in the majority-Muslim region of western Burma, but U.N. officials say they have not seen the scale of sexual violence alleged by women interviewed by the BBC.

U.N. humanitarian workers say they have been barred from getting too close to affected villages, as Myanmar's military has launched waves of sweeping operations in the state of Rakhine that have forced more than 300,000 people to flee for their lives.

Some U.N. officials said they saw evidence of sexual",fake,fake,1
