title,text,subject,date,label
House Speaker Ryan says contested Republican convention more likely,"House Speaker Ryan says contested Republican convention more likely to fail in a new CNN interview with Wolf Blitzer Ryan says convention would fail because of the 'willful blindness' of 'the establishment'

Rep. Trey Gowdy slammed ""the establishment,"" telling host Wolf Blitzer he feels the convention is ""more likely to fail than succeed,"" as he told his first live interview as House speaker in nearly five years.

Asked by Blitzer to respond to his critics such as Sen. Bob Corker (R-Tenn.), who said he fears a convention ""drenched in the blood of innocent Americans,"" Gowdy said he agreed that the GOP may not nominate a candidate.

""That's exactly how I felt in 2013 as well,"" Gow",fake,fake,1
Economic espionage a 'tremendous problem': U.S. attorney general,"Economic espionage a 'tremendous problem': U.S. attorney general

WASHINGTON, Sept 19 (Reuters) - As he prepares to face legislators on Thursday, U.S. Attorney General Eric Holder is being pressed on the growing problem of economic espionage, a crime that is increasingly being exploited to the detriment of U.S. companies ranging from Boeing and Apple to drugmakers and even some in Hollywood.

Holder told reporters on Monday that ""economic espionage is a tremendous problem"" and the Department of Justice had ""taken aggressive steps to address it.""

He then met with a group of about 100 representatives of technology companies, many of them Silicon Valley start-ups.

The Obama administration has focused on the",fake,fake,1
Jordan sentences Syrian militant to death over border attack,"Jordan sentences Syrian militant to death over border attack

DAMASCUS (Reuters) - A Damascus court has sentenced to death a Syrian militant accused of leading a shooting attack with his wife and three children on a frontier post on the Turkish-Syrian border, security sources said.

A picture taken on June 23, 2010 shows a Syrian national flag flutters on a flagpole in the northern border town of Akcakale as Syrian and Turkish soldiers stand next to Turkish flags. REUTERS/Umit Bektas

Assad Ibrahim was convicted of membership of the Lebanese group Hezbollah, which is a U.S. “terrorist organisation,” the sources said, an accusation he denied.

A second militant from the",fake,fake,1
Trump cancels California event to stay in New York,"Trump cancels California event to stay in New York with his family, will go to Bedminster

posted by Rob Riggle -
Aug 25, 2018

So, it was not because of the heat? At least not directly. The President was in California and the heat was really getting to him.

President Trump cancelled his plans to go to California and stay in the White House as temperatures there were expected to reach up to 100 degrees this weekend.

Instead, he decided to head to Bedminister and do some golfing with his family.

The President spoke to reporters and addressed the cancelled California trip on Twitter, saying he needed to stay in the ""cooler weather:""

""We are going to",fake,fake,1
"U.S. mulls South Sudan pressure, cutting aid may not work: U.N. envoy","U.S. mulls South Sudan pressure, cutting aid may not work: U.N. envoy

GENEVA (Reuters) – The United States is considering taking steps such as cutting aid to South Sudan and imposing sanctions or blacklisting its leaders if they do not step down from power, a senior United Nations official said on Thursday, as U.N. agencies voiced alarm about rising hunger and violence in the country. “We are not seeing any movement to that end,” U.N. political affairs chief Jeffrey Feltman told a U.N. Human Rights Council session. “We have to think about how to make sure that it does.” South Sudan declared independence from Sudan last year after a civil",fake,fake,1
Putin to meet Erdogan in Ankara on Sept 28: Kremlin,"Putin to meet Erdogan in Ankara on Sept 28: Kremlin

Share

Turkey will get its first opportunity on Sept. 28 to discuss progress with Russian President Vladimir Putin on the crisis that its two NATO allies, the United States and Russia, are facing after Turkey shot down a Russian fighter jet near the Syrian border.

A press conference between Putin and his Turkish counterpart will be held in Ankara Sept. 28, the Kremlin said in a statement on Tuesday.

The Kremlin said the two leaders had been “regularly and in detail” exchanging their views on the bilateral relations on the crisis and other issues. The two leaders had regular phone consultations on the situation in Syria, where the Turkish air force shot down a Russian warplane",fake,fake,1
Iraqi forces in final assault to take Hawija from Islamic State,"Iraqi forces in final assault to take Hawija from Islamic State

Iraqi government forces launched a final assault on Hawija in northwestern Iraq’s Anbar province Sunday, in a major push to push back gains made by the Islamic State militants.

The Iraqi forces also targeted the militants’ other stronghold of Falluja in the neighboring province.

The operation, backed by coalition air and artillery support, was launched from the west to take the district of al-Qaediya, which is located at the south side of the city, in the eastern district of the city, Iraqi military officials said. It is the first operation to be launched in western Hawija.

The officials said Iraqi forces launched the assault",fake,fake,1
McMaster says 'not concerned' after Kushner back-channel reports,"McMaster says 'not concerned' after Kushner back-channel reports, but sources who spoke to Axios say there is worry

Jared Kushner, President Donald Trump's senior adviser and son-in-law, speaks with Secretary of State Mike Pompeo during a meeting on the Situation Room couter, left, and White House Homeland Security and Counterterrorism Coordinator Joseph W. Reardon, middle, right, in the Roosevelt Room at the White House on April 25, 2019. U.S. Secret Service photo

WASHINGTON – In a story Thursday about President Donald Trump's son-in-law and adviser Jared Kushner, Axios reported that Kushner is speaking directly with North Korean officials and is communicating with Chinese diplomats.

The story",fake,fake,1
"Russian defense minister, Syria's Assad meet in Damascus: agencies","Russian defense minister, Syria's Assad meet in Damascus: agencies

BEIRUT (Reuters) - Russian and Syrian defense ministers held their first formal meeting in nearly five years on Tuesday, with Bashar al-Assad’s office saying the talks covered “the full spectrum of bilateral relations” and their “strategic partnership”.

Russian Sergei Shoigu and Russian-backed Syrian government forces (L) and the Syrian opposition delegation (C) attend a news conference on the results of the Russian-Syrian negotiations at the headquarters of the General Staff of the Armed Forces, in Moscow, Russia, October 10, 2017. REUTERS/Sergei Karpukhin

Russia, a staunch ally of President Bashar",fake,fake,1
"Saudi-led coalition to reopen Yemen's Hodeidah port, Sanaa airport for aid","Saudi-led coalition to reopen Yemen's Hodeidah port, Sanaa airport for aid

The internationally recognized government has said it does not oppose the operation but Houthi rebel forces and their allies have launched an offensive into the area of the port city, also known as the Salween River.

""We are not opposed to the operations,"" government spokesman Mohsen Sbeih told the Reuters news agency, adding there was ""a need to reopen the port for humanitarian operations"".

""The port of Hodeidah is essential for providing humanitarian assistance, as well as vital for our food security,"" he added.

The port is a lifeline for a country that cannot feed itself, after 10 months of conflict.",fake,fake,1
May heads for Brussels as last-minute Brexit talks go on,"May heads for Brussels as last-minute Brexit talks go on hold

A demonstrator wearing a Boris Johnson mask, shouts at police as he displays a placard before marching through the streets of Brussels on the eve of the European Union (EU) Council meeting, Wednesday, Oct. 23, 2019, in Brussels. British Prime Minister Boris Johnson is heading to Brussels on Wednesday as the last-ditch Brexit talks between the British and EU stalled a day after he made what EU leaders said was a ‘meaningful offer’ to the bloc. (AP Photo/Francis Wolff)

A demonstrator wearing a Boris Johnson mask, shouts at police as he displays a placard before marching through the streets of Brussels on the eve",fake,fake,1
Pompeo might bring assets to 'hellish' secretary of state role,"Pompeo might bring assets to 'hellish' secretary of state role

By John Barry and Michael Martina

Updated on: September 10, 2019, 8:55 PM IST

US Secretary of State Mike Pompeo, who is expected to visit Pakistan soon, will have to tackle a number of sensitive matters during his trip, which will be his second since assuming office as the top US diplomat
Reuters

US Secretary of State Mike Pompeo will have 'hellish' meetings on the margins of a major UN General Assembly session.

As expected, Pompeo will meet Pakistan's President Imran Khan on the sidelines of the United Nations General Assembly (UNGA) meet in New York on September 19, a Trump",fake,fake,1
"Friendly no more: Trump, Cruz erupt in bitter fight at Republican debate","Friendly no more: Trump, Cruz erupt in bitter fight at Republican debate

WASHINGTON – Donald Trump called Ted Cruz a liar and challenged him to release his birth certificate.

""Ted says he's very, very loyal, nobody else could say that,"" Trump said Wednesday night as the two political titans sparred in the latest Republican debate. ""Nobody else could say that. But the fact is he was never there for him, except when he endorsed him. There's never any support.""

Trump said he'll release his birth certificate later.

The Republican leaders were squaring off just days before Wisconsin's primary, during an all-out fight for delegates.

""I'm leading the polls. So I think",fake,fake,1
Kuwait's ruler reappoints PM: state news agency,"Kuwait's ruler reappoints PM: state news agency says Nasser announced decision following a meeting with crown prince

KUWAIT CITY, Feb 10 (Reuters) - Kuwait's ruler reappointed his prime minister on Thursday, Kuwait's state news agency reported.

The statement said an announcement would be made soon, after the rulers of Kuwait and the United Arab Emirates held a summit last week.

The state news agency Qanat reported last month that Sheikh Jaber al-Sabah had resigned as prime minister, hours after the Supreme Council of the Emir of Kuwait made its first visit to a country ruled by the United Arab Emirates.

News of the appointment was announced just weeks after Sheikh Jaber al-Sab",fake,fake,1
"Mexico's border trade capital craves Clinton win, with caveats","Mexico's border trade capital craves Clinton win, with caveats

By Matt Wilson

Published
11/8/2012 4:26 PM

Updated
11/8/2012 4:26 PM

(CNNMoney.com) -- When it comes to the Mexican border, Hillary Clinton's immigration plan -- and a recent call from President Barack Obama -- has been met with cautious optimism.

The proposal -- which calls for the creation of a guest worker program for low-skilled workers in the United States -- marks a breakthrough for Mrs. Clinton, who has been criticized in the past by Democrats for being too hawkish on the issue. It's a proposal that has long been pushed by Republicans, who have argued the existing",fake,fake,1
Investors gird for impact of Trump healthcare measures,"Investors gird for impact of Trump healthcare measures Watch Now

A federal judge on Tuesday ruled that Texas should remain in a 13-state lawsuit challenging President Donald Trump's latest attempt to repeal and replace Obamacare.

The Texas attorney general's office, which argued that the suit was moot because of the Republican president's latest plan, lost the legal battle -- although it is now free to refile in the district court.

In his ruling, US District Judge Reed O'Connor said the lawsuit was not moot because the case related to the Trump administration's new rules on pre-existing conditions.

""There is no way to know, at this point in their implementation, whether the rules will result in the denial of federal subsidies",fake,fake,1
