title,text,subject,date,label
Europe rights watchdog says Turkey's emergency laws go too far,"Europe rights watchdog says Turkey's emergency laws go too far

Reuters

Photo:

The European Union's top human rights official said Turkey's emergency laws went way beyond the scope of the state of emergency imposed in the immediate aftermath of a botched July 2016 coup as the two sides prepare to start accession talks.

Ongoing trials under the laws -- which grant broad powers to the presidency, including the ability to close or dissolve parliament and sack senior judges -- are ""an abuse of justice,"" said the President of the Council of Europe, Thorbjorn Jagland.

His comments on Tuesday came at a news conference with Turkey's EU Minister for European Affairs, Egemen Bağış, on the eve of the",fake,fake,1
Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama,"Exclusive: Trump targets illegal immigrants who were given reprieves from deportation by Obama

Trump said Obama granted the reprieves to “people that were here for two or three years” and that were facing deportation. But Obama gave deferrals of deportation to hundreds of thousands of people, including those who had been in the U.S. 20 or 30 years, and some who had already been deported from the U.S.


“We’re going to terminate the whole thing,” Trump said of Obama’s policy, echoing his campaign slogan, “You’re going to be proud again.”

[Watch live from Los Angeles: Watch Donald Trump’",fake,fake,1
"At G20 summit, Trump pledges $639 million in aid to four countries","At G20 summit, Trump pledges $639 million in aid to four countries

The first G20 summit, a two-day meetings of the leaders of the world’s biggest economies, was a summit of discord. The meeting between President Donald Trump and Russian President Vladimir Putin was the summit’s central focus. But it was the summit of the summit in which Trump clashed with his main counterpart, German Chancellor Angela Merkel, over climate change.

In a press conference with Merkel on Friday, Trump declared that the United States “has extremely strong borders, and they have been respected” and therefore he was “not worried about migration.”

Trump then spoke to the cameras, turned to Merkel and",fake,fake,1
Ex-Christie associates lose bid for new trial in 'Bridgegate' case,"Ex-Christie associates lose bid for new trial in 'Bridgegate' case

NEWARK – Attorneys for two former associates of former Gov. Chris Christie have lost a bid to obtain an acquittal or a new trial in the “Bridgegate” case.

In October, a jury in U.S. District Court in Newark convicted former Christie Deputy Chief of Staff at Division of Criminal Justice Michael Baroni of charges of conspiracy and providing false information to law enforcement. Christie, who was not charged, was the target of the plot to close access lanes at the George Washington Bridge in September 2012, a year after Christie was re-elected and his first term began.

The jury voted 9-3 that Baroni",fake,fake,1
Young blacks more open to Bernie Sanders' White House bid,"Young blacks more open to Bernie Sanders' White House bid

A Bernie Sanders supporter cheers during a rally in Fort Madison on Nov. 7, 2015. A Sanders supporter cheers during a rally in Fort Madison on Nov. 7, 2015. Photo: Brian Ray, Special To The Chronicle Photo: Brian Ray, Special To The Chronicle Image 1 of / 3 Caption Close Young blacks more open to Bernie Sanders' White House bid 1 / 3 Back to Gallery

Young black voters in Iowa and South Carolina see a future where Bernie Sanders is the Democratic presidential nominee, with the Vermont senator emerging as more popular among them than Hillary Clinton, according to a new Washington Post/ABC News poll.

A look at other findings from the Post/ABC news",fake,fake,1
New York attorney general says will sue over Obamacare repeal,"New York attorney general says will sue over Obamacare repeal

New York Attorney General Eric Schneiderman says he will sue to block the Trump administration unless it agrees to maintain Obamacare's protections for people with pre-existing conditions.

Schneiderman said on a press call Wednesday that he has the legal right to seek a court order to block the administration from implementing the ban.

ADVERTISEMENT

He said a preliminary injunction would be sought to force the administration to accept and honor Obamacare's protections ""and they can't back away from that.""

""Today, I will seek to sue to the U.S. District Court for the Southern District of New York and to force the president and attorney general in the executive branch to respect the",fake,fake,1
Indonesian parliament speaker quits amid graft investigation,"Indonesian parliament speaker quits amid graft investigation

BEDI KERITA, Indonesia (AP) — Amid an investigation into widespread corruption in Indonesia's parliament, the speaker resigned his post Wednesday as the government struggled to find a new leader at a deeply riven institution that has been in crisis for some time.

Dewi Fortuna Anwar had been under intense pressure for months from leaders of the House of Representatives, which has been controlled by President Joko ""Jokowi"" Widodo's party for eight years. Anwar stood in the way of the party's plan to replace its speaker with a politician loyal to it.

The government had been seeking to pass a law this year to regulate",fake,fake,1
Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman,"Spanish lender Sabadell to transfer legal base to Alicante - spokeswoman

The headquarters of Bankia has been moved from Madrid to Alicante. Madrid, May 9 (EFE).- Sabadell, Spain's seventh largest bank, is transferring its legal base to Alicante, the capital of the eastern region, as part of a restructuring programme.

Under the terms of the deal, approved in May under pressure from Spain's lenders, the bank will pay the government 1.4 billion euros ($1.65 billion) for a 49-percent stake in Sabadell. The Spanish government, which is set to inject 2.5 billion euros ($2.76 billion) in public money to support the bank as part of the",fake,fake,1
House speaker tells Trump healthcare bill lacks votes: CNN,"House speaker tells Trump healthcare bill lacks votes: CNN

(CNN) -- House of Representatives Speaker Paul Ryan has told President Donald Trump his signature health care plan is ""nowhere close"" of passing in the House.

Trump says he's ready to go the Senate if that becomes necessary.

He also indicated he'll take up a tax reform plan -- a project long put on hold -- during the lame-duck Congress if it can pass the House.

Trump said he wants the House and Senate to pass healthcare and tax plans ""simultaneously.""

He said, ""I could be a tax and I will be a tax, and the Republicans will be a tax.""

""I want to do what",fake,fake,1
Britain says expects most EU citizens can stay after Brexit,"Britain says expects most EU citizens can stay after Brexit

Britain expects most European Union citizens can stay in the country after Brexit, and it hopes to be able to make an announcement very soon on future immigration controls, Prime Minister Theresa May told European Union leaders on Thursday.

“There are some in the UK who would like to leave without any deal,” the prime minister said.

“But it is not something this government is advocating, we want to work together on this. “We are working in partnership with the European Union and we expect most people will be able to continue to live freely in this country.”

She said that would be subject to a review of what EU citizens do, which",fake,fake,1
"Trump pressures Lockheed, says told Boeing to price out fighter aircraft","Trump pressures Lockheed, says told Boeing to price out fighter aircraft

After Trump’s meeting with the CEOs of Lockheed Martin and Boeing that made headlines for his apparent demands of lower prices, the Trump administration and some allies are using his comments to pressure Lockheed to lower its price for the F-35 jet fighter, a move that could potentially have a big impact on the Pentagon’s $391 billion weapon acquisition plan for next-generation planes and ships.

If Lockheed complies with the White House’s demands, the outcome for the troubled military modernization program could be the most serious since its initial cost projections.

Text Size

-

+

reset

If Lockheed doesn’t lower their",fake,fake,1
Mexico says president Pena Nieto to meet Trump on Wednesday,"Mexico says president Pena Nieto to meet Trump on Wednesday

Mexico President Enrique Pena Nieto (L) shakes hands with U.S. President-elect Donald Trump prior to a news conference at the Los Pinos presidential residence in Mexico City, Mexico, on November 9, 2016.

Story highlights

""For Mexico, a close and dynamic relationship with the United States is good for each of us,"" Pena Nieto says

The leaders will ""discuss important issues, but not on an agenda,"" Pena Nieto says

Trump says he and the president ""have very open minds""

Mexico

Mexican President Enrique Pena Nieto met with Donald Trump on Wednesday after the U.S. president-elect",fake,fake,1
Trump handling of security information at Mar-a-Lago queried by House panel,"Trump handling of security information at Mar-a-Lago queried by House panel

WASHINGTON — President Donald Trump and his guests at Mar-a-Lago have been the subjects of at least three investigations by the House for their practices related to their use of a government-run secure communications system, Politico reports.

In addition to a House Government Oversight and Reform Committee investigation of Trump’s security protocols, Trump’s frequent guests are being subjected to a separate investigation by three House Intelligence Committee members as part of their broader probe into “Russian active measures against the 2016 U.S. elections.”

The investigation into Trump’s Mar-a-Lago security practices began March 27, when Rep. Eric",fake,fake,1
Transport minister doesn't think Britain will leave EU without a deal,"Transport minister doesn't think Britain will leave EU without a deal (Video)

The new minister responsible for Britain's exit from the European Union, Dominic Raab, doesn't believe that the nation will leave without a deal, and he's concerned about what will happen to air traffic between the UK and Europe if there's no agreement.

Raab told journalists during a visit to Belfast at the weekend that he's not optimistic that Britain will leave the European Union on October 31 without a deal, especially with less than a month to go until the deadline. He also warned that British businesses would suffer if a no-deal Brexit means that the country loses access to the EU's Single Market, and that air traffic between the UK and Europe",fake,fake,1
Factbox: Short list of potential picks for Trump administration,"Factbox: Short list of potential picks for Trump administration

WASHINGTON (AP) — President-elect Donald Trump has begun identifying the people he plans to nominate for Cabinet and top administration posts. He’s already said he may select Wisconsin Gov. Scott Walker or Arkansas Gov. Asa Hutchinson to fill the vacant U.S. Senate seat from that state. But it’s not only that seat that’s getting attention.

Trump already has made four appointments to key Cabinet positions: Vice President Mike Pence as his running mate, former Exxon Mobile CEO Rex Tillerson at State, Indiana Gov. Mike Pence as his running mate as well as to head the EPA.

Here’s a short list of potential names",fake,fake,1
EU's Tusk appealed to Rajoy to avoid escalation in Catalonia,"EU's Tusk appealed to Rajoy to avoid escalation in Catalonia as tensions rise and Spain braces for regional election on Sunday.

Barcelona, Spain – The European Council President, Donald Tusk used his monthly news conference on Wednesday to appeal to Pedro Sánchez, Spain’s prime minister, to ensure that Spaniards remain united in the face of growing regional tensions.

Tusk appealed to Sánchez to avoid “escalation” in the face of a political crisis that has rocked Spain in recent weeks, with the government in Madrid taking the unprecedented step of taking control of Catalonia on Thursday.

“I also want the Spanish state to remain united and I’d also like to remind",fake,fake,1
Britain to limit acid sales after steep rise in assaults,"Britain to limit acid sales after steep rise in assaults on young drivers and pedestrians

This article is more than 6 years old

This article is more than 6 years old

Drivers carrying children in the back seat face an increase in potential acid attacks as the police warn that more people are using acid as a weapon.

Britons have been warned to take precautions against being attacked in an increasing number of crimes involving acidic substances. Asda is to remove a large number of bottles of cleaning and toilet-cleaning fluid that have acid in them from sale after a sharp rise in assaults.

Last year, there were about 2,500 reports of suspected domestic assaults involving corrosive substances, a rise of about 1,000 on",fake,fake,1
Hawaii issues first challenge to Trump's new travel ban,"Hawaii issues first challenge to Trump's new travel ban

By Reuters

Posted Sep. 28, 2017 at 6:55 AM

Updated Sep 28, 2017 at 12:01 PM

By Reuters

Posted Sep. 28, 2017 at 6:55 AM

WASHINGTON

Hawaii on Friday became the first state to sue to block a revised U.S. travel ban targeting majority-Muslim nations, following the U.S. Supreme Court's narrow reinstatement of part of President Donald Trump's ban on travel to the United States. Trump's revised ban temporarily halts travel to the United States from six majority-Muslim countries: Iran, Libya, Somalia, Yemen, Syria and Sudan.

Attorney General",fake,fake,1
Graft probe into Mexico president's ally poses tricky challenge ahead of elections,"Graft probe into Mexico president's ally poses tricky challenge ahead of elections

Mexico’s next president could very well come face-to-face with Mexican President Enrique Peña Nieto – the man who appointed him as finance minister and gave him the job of tackling a country’s economic woes.

Sergio Alcocer, who will be Mexico’s next finance minister, and José Antonio Meade, who is expected to be next foreign minister, are both from the ruling Institutional Revolutionary Party.

Carmen Aristegui, the Mexican journalist who led the investigation into Peña Nieto’s alleged involvement in drug smuggling and corruption, was killed in a 2011 crash in Washington state after reporting on",fake,fake,1
